onset	duration	trial_type	run_type	comparison_onset	comparison_duration	feedback_onset	feedback_duration	feedback_type	first_term	operation	second_term	comparison	solution	rounded_difference	response	response_time	accuracy	stim_file_first_term	stim_file_operator	stim_file_second_term	stim_file_comparison	stim_file_feedback	equation_representation	comparison_representation
6.07	1.81	addition	Training	12.78	2.81	21.50	0.50	noninformative	5	add	16	19	21.00	2	left	2.44	correct	numerals\english\05_e.png	numerals\english\add_e.png	numerals\english\16_e.png	numerals\english\19_e.png	feedback\noninformative.png	english_word	english_word
22.04	2.40	subtraction	Training	28.05	2.81	35.01	0.50	noninformative	10	subtract	10	-1	0.00	1	left	1.67	correct	numerals\10_n.png	numerals\subtract_n.png	numerals\10_n.png	numerals\-1_n.png	feedback\noninformative.png	numeric	numeric
35.53	1.01	multiplication	Training	39.35	1.20	44.37	0.51	informative	13	multiply	3	36	39.00	0	left	0.92	correct	numerals\13_n.png	numerals\multiply_n.png	numerals\03_n.png	numerals\36_n.png	feedback\positive.png	numeric	numeric
44.93	1.60	division	Training	50.04	1.10	56.65	0.51	informative	30	divide	7	5	4.30	-1	right	1.29	correct	numerals\english\30_e.png	numerals\english\divide_e.png	numerals\english\07_e.png	numerals\english\05_e.png	feedback\positive.png	english_word	english_word
57.19	1.30	subtraction	Training	63.90	1.31	68.91	0.51	informative	2	subtract	7	2	-9.00	-11	right	0.24	correct	numerals\english\02_e.png	numerals\english\subtract_e.png	numerals\english\07_e.png	numerals\english\02_e.png	feedback\positive.png	english_word	english_word
